,rating,genre,year,score,votes,budget,gross,runtime,month,continent
222,PG_13,Drama,2014,6.7,118000.0,11000000.0,78274843.0,107.0,August,North_America
223,R,Biography,1983,6.7,6000.0,12000000.0,6472990.0,103.0,February,North_America
224,R,Comedy,1984,6.4,3000.0,3000000.0,727639.0,84.0,March,North_America
225,R,Fantasy,1999,7.3,338000.0,100000000.0,206071502.0,105.0,November,North_America
226,R,Comedy,1992,7.5,93000.0,3000000.0,242623.0,104.0,February,Oceania
227,R,Action,2000,5.8,2200.0,1000000.0,13276.0,82.0,September,North_America
228,PG_13,Comedy,2010,5.4,7500.0,20000000.0,405861.0,110.0,January,North_America
229,PG_13,Action,2005,6.0,94000.0,130000000.0,119240351.0,124.0,April,Europe
230,R,Action,2013,6.5,263000.0,70000000.0,170270201.0,119.0,March,North_America
231,R,Crime,1996,7.2,45000.0,3000000.0,222559.0,101.0,February,North_America
232,R,Action,2015,7.6,386000.0,30000000.0,84872444.0,121.0,October,North_America
233,R,Drama,1988,7.6,66000.0,14000000.0,34670720.0,119.0,February,North_America
234,R,Drama,2002,7.1,259000.0,41000000.0,242875078.0,110.0,November,North_America
235,R,Crime,2007,6.5,73000.0,8600000.0,32730062.0,84.0,November,North_America
236,R,Crime,1981,6.6,22000.0,12000000.0,12376625.0,122.0,March,Europe
237,R,Drama,2019,6.5,222000.0,79000000.0,473093228.0,169.0,September,North_America
238,R,Action,2006,5.4,134000.0,33000000.0,62022014.0,105.0,August,North_America
239,R,Comedy,1994,5.2,15000.0,18000000.0,11300653.0,133.0,December,North_America
240,PG,Comedy,1998,4.9,19000.0,60000000.0,12069719.0,114.0,October,North_America
241,PG,Sci_Fi,1983,6.4,11000.0,15000000.0,10219460.0,106.0,September,North_America
242,R,Crime,2013,5.6,61000.0,30000000.0,62675095.0,88.0,October,North_America
243,PG_13,Comedy,1992,5.1,1600.0,13000000.0,3721911.0,89.0,August,North_America
244,R,Crime,2003,6.7,34000.0,15000000.0,23014206.0,97.0,April,North_America
245,R,Crime,1998,6.0,77000.0,73000000.0,103891409.0,98.0,August,North_America
246,R,Biography,2017,5.9,22000.0,40000000.0,55668698.0,139.0,June,North_America
247,R,Biography,2019,5.8,13000.0,6000000.0,21354152.0,109.0,March,North_America
248,R,Drama,2005,6.5,32000.0,19300000.0,566611.0,120.0,August,Europe
249,R,Crime,1995,6.8,27000.0,7000000.0,529766.0,115.0,December,North_America
250,R,Action,2007,5.4,43000.0,45000000.0,30984583.0,99.0,April,North_America
251,R,Comedy,1986,6.1,10000.0,20000000.0,25314189.0,108.0,July,North_America
252,R,Action,1990,5.8,28000.0,10000000.0,47410827.0,96.0,February,North_America
253,G,Animation,2003,6.8,101000.0,128000000.0,250397798.0,85.0,November,North_America
254,PG_13,Comedy,2016,7.7,27000.0,8000000.0,685780.0,104.0,November,North_America
255,PG_13,Comedy,1991,5.1,23000.0,40000000.0,8479793.0,94.0,February,North_America
256,PG_13,Drama,2010,6.4,81000.0,55000000.0,89520336.0,119.0,November,North_America
257,G,Animation,2000,6.2,12000.0,30000000.0,103291131.0,78.0,November,Europe
258,R,Action,1990,5.6,16000.0,20000000.0,25069101.0,113.0,July,North_America
259,R,Comedy,2018,6.1,25000.0,13500000.0,31626386.0,99.0,April,North_America
